8.50563 -1906.96 -1668.59 -1430.22 -1191.85 -953.48 -715.11 -476.74 -238.37 0 238.37 476.74 715.11 953.48 1191.85 1430.22 1668.59 1906.96 
8.50575 -1906.99 -1668.61 -1430.24 -1191.87 -953.493 -715.12 -476.747 -238.373 0 238.373 476.747 715.12 953.493 1191.87 1430.24 1668.61 1906.99 
8.50587 -1907.01 -1668.64 -1430.26 -1191.88 -953.506 -715.13 -476.753 -238.377 0 238.377 476.753 715.13 953.506 1191.88 1430.26 1668.64 1907.01 
8.50598 -1907.04 -1668.66 -1430.28 -1191.9 -953.519 -715.14 -476.76 -238.38 0 238.38 476.76 715.14 953.519 1191.9 1430.28 1668.66 1907.04 
8.5061 -1907.07 -1668.68 -1430.3 -1191.92 -953.533 -715.149 -476.766 -238.383 0 238.383 476.766 715.149 953.533 1191.92 1430.3 1668.68 1907.07 
8.50622 -1907.09 -1668.7 -1430.32 -1191.93 -953.546 -715.159 -476.773 -238.386 0 238.386 476.773 715.159 953.546 1191.93 1430.32 1668.7 1907.09 
8.50633 -1907.12 -1668.73 -1430.34 -1191.95 -953.559 -715.169 -476.779 -238.39 0 238.39 476.779 715.169 953.559 1191.95 1430.34 1668.73 1907.12 
8.50645 -1907.14 -1668.75 -1430.36 -1191.96 -953.572 -715.179 -476.786 -238.393 0 238.393 476.786 715.179 953.572 1191.96 1430.36 1668.75 1907.14 
8.50657 -1907.17 -1668.77 -1430.38 -1191.98 -953.585 -715.189 -476.793 -238.396 0 238.396 476.793 715.189 953.585 1191.98 1430.38 1668.77 1907.17 
8.50669 -1907.2 -1668.8 -1430.4 -1192 -953.598 -715.199 -476.799 -238.4 0 238.4 476.799 715.199 953.598 1192 1430.4 1668.8 1907.2 
8.5068 -1907.22 -1668.82 -1430.42 -1192.01 -953.611 -715.209 -476.806 -238.403 0 238.403 476.806 715.209 953.611 1192.01 1430.42 1668.82 1907.22 
8.50692 -1907.25 -1668.84 -1430.44 -1192.03 -953.625 -715.218 -476.812 -238.406 0 238.406 476.812 715.218 953.625 1192.03 1430.44 1668.84 1907.25 
8.50704 -1907.28 -1668.87 -1430.46 -1192.05 -953.638 -715.228 -476.819 -238.409 0 238.409 476.819 715.228 953.638 1192.05 1430.46 1668.87 1907.28 
8.50716 -1907.3 -1668.89 -1430.48 -1192.06 -953.651 -715.238 -476.825 -238.413 0 238.413 476.825 715.238 953.651 1192.06 1430.48 1668.89 1907.3 
8.50727 -1907.33 -1668.91 -1430.5 -1192.08 -953.664 -715.248 -476.832 -238.416 0 238.416 476.832 715.248 953.664 1192.08 1430.5 1668.91 1907.33 
8.50739 -1907.35 -1668.94 -1430.52 -1192.1 -953.677 -715.258 -476.839 -238.419 0 238.419 476.839 715.258 953.677 1192.1 1430.52 1668.94 1907.35 
8.50751 -1907.38 -1668.96 -1430.54 -1192.11 -953.69 -715.268 -476.845 -238.423 0 238.423 476.845 715.268 953.69 1192.11 1430.54 1668.96 1907.38 
8.50762 -1907.41 -1668.98 -1430.56 -1192.13 -953.703 -715.278 -476.852 -238.426 0 238.426 476.852 715.278 953.703 1192.13 1430.56 1668.98 1907.41 
8.50774 -1907.43 -1669 -1430.57 -1192.15 -953.717 -715.287 -476.858 -238.429 0 238.429 476.858 715.287 953.717 1192.15 1430.57 1669 1907.43 
8.50786 -1907.46 -1669.03 -1430.59 -1192.16 -953.73 -715.297 -476.865 -238.432 0 238.432 476.865 715.297 953.73 1192.16 1430.59 1669.03 1907.46 
8.50798 -1907.49 -1669.05 -1430.61 -1192.18 -953.743 -715.307 -476.871 -238.436 0 238.436 476.871 715.307 953.743 1192.18 1430.61 1669.05 1907.49 
8.50809 -1907.51 -1669.07 -1430.63 -1192.2 -953.756 -715.317 -476.878 -238.439 0 238.439 476.878 715.317 953.756 1192.2 1430.63 1669.07 1907.51 
8.50821 -1907.54 -1669.1 -1430.65 -1192.21 -953.769 -715.327 -476.885 -238.442 0 238.442 476.885 715.327 953.769 1192.21 1430.65 1669.1 1907.54 
8.50833 -1907.56 -1669.12 -1430.67 -1192.23 -953.782 -715.337 -476.891 -238.446 0 238.446 476.891 715.337 953.782 1192.23 1430.67 1669.12 1907.56 
8.50845 -1907.59 -1669.14 -1430.69 -1192.24 -953.796 -715.347 -476.898 -238.449 0 238.449 476.898 715.347 953.796 1192.24 1430.69 1669.14 1907.59 
8.50856 -1907.62 -1669.17 -1430.71 -1192.26 -953.809 -715.357 -476.904 -238.452 0 238.452 476.904 715.357 953.809 1192.26 1430.71 1669.17 1907.62 
8.50868 -1907.64 -1669.19 -1430.73 -1192.28 -953.822 -715.366 -476.911 -238.455 0 238.455 476.911 715.366 953.822 1192.28 1430.73 1669.19 1907.64 
8.5088 -1907.67 -1669.21 -1430.75 -1192.29 -953.835 -715.376 -476.917 -238.459 0 238.459 476.917 715.376 953.835 1192.29 1430.75 1669.21 1907.67 
8.50891 -1907.7 -1669.23 -1430.77 -1192.31 -953.848 -715.386 -476.924 -238.462 0 238.462 476.924 715.386 953.848 1192.31 1430.77 1669.23 1907.7 
8.50903 -1907.72 -1669.26 -1430.79 -1192.33 -953.861 -715.396 -476.931 -238.465 0 238.465 476.931 715.396 953.861 1192.33 1430.79 1669.26 1907.72 
8.50915 -1907.75 -1669.28 -1430.81 -1192.34 -953.874 -715.406 -476.937 -238.469 0 238.469 476.937 715.406 953.874 1192.34 1430.81 1669.28 1907.75 
8.50927 -1907.78 -1669.3 -1430.83 -1192.36 -953.888 -715.416 -476.944 -238.472 0 238.472 476.944 715.416 953.888 1192.36 1430.83 1669.3 1907.78 
8.50938 -1907.8 -1669.33 -1430.85 -1192.38 -953.901 -715.426 -476.95 -238.475 0 238.475 476.95 715.426 953.901 1192.38 1430.85 1669.33 1907.8 
8.5095 -1907.83 -1669.35 -1430.87 -1192.39 -953.914 -715.435 -476.957 -238.478 0 238.478 476.957 715.435 953.914 1192.39 1430.87 1669.35 1907.83 
8.50962 -1907.85 -1669.37 -1430.89 -1192.41 -953.927 -715.445 -476.964 -238.482 0 238.482 476.964 715.445 953.927 1192.41 1430.89 1669.37 1907.85 
8.50974 -1907.88 -1669.4 -1430.91 -1192.43 -953.94 -715.455 -476.97 -238.485 0 238.485 476.97 715.455 953.94 1192.43 1430.91 1669.4 1907.88 
8.50985 -1907.91 -1669.42 -1430.93 -1192.44 -953.953 -715.465 -476.977 -238.488 0 238.488 476.977 715.465 953.953 1192.44 1430.93 1669.42 1907.91 
8.50997 -1907.93 -1669.44 -1430.95 -1192.46 -953.966 -715.475 -476.983 -238.492 0 238.492 476.983 715.475 953.966 1192.46 1430.95 1669.44 1907.93 
8.51009 -1907.96 -1669.46 -1430.97 -1192.47 -953.98 -715.485 -476.99 -238.495 0 238.495 476.99 715.485 953.98 1192.47 1430.97 1669.46 1907.96 
8.51021 -1907.99 -1669.49 -1430.99 -1192.49 -953.993 -715.495 -476.996 -238.498 0 238.498 476.996 715.495 953.993 1192.49 1430.99 1669.49 1907.99 
8.51032 -1908.01 -1669.51 -1431.01 -1192.51 -954.006 -715.504 -477.003 -238.501 0 238.501 477.003 715.504 954.006 1192.51 1431.01 1669.51 1908.01 
8.51044 -1908.04 -1669.53 -1431.03 -1192.52 -954.019 -715.514 -477.01 -238.505 0 238.505 477.01 715.514 954.019 1192.52 1431.03 1669.53 1908.04 
